general_cap_classification,summary,label
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  sergeant. They made a police report. The sergeant was the supervisor of the officer who took the report. The complainant states the sergeant deliberately provided incorrect information to them and their attorney.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were improperly stopped and departmental policies were violated by a  officer. While riding their bicycle, an officer pulled their patrol car beside them. The officer swerved their patrol car in their direct path. The complainant yelled at the officer. The officer exited their patrol car and shouted at them to stop. The officer yelled, Â¿You wanna call me a mother f*ck*r, huh? Well fine.Â¿ The officer requested their driverÂ¿s license. The officer told them that they were stopped for endangering drivers, driving recklessly, failure to stop at a stop light and multiple stop signs. The complainant states that all of the traffic violations the officer stated were untrue. The complainant states that the officer belittled them when they asked the officer to repeat their name and badge number. The officer said, Â¿IÂ¿ve now told it to you four times. Four times.Â¿",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a detective assigned to Northwest Detective Division. They were threatened by a person with a gun. The case was assigned to the detective. The complainant states that the detective failed to take their case seriously and they could not get in contact with them for two months. The complainant states they then found out that their case was dismissed.",high
LACK OF SERVICE,"while in the confines of , they witnessed four officers standing outside a coffee shop, for the past year, smoking cigars and drinking coffee. The complainant states that the officers stand around on most days between the hours ofanddoing nothing. The complainant also states that the officers park illegally and tell other people to move their vehicles, so that they can in turn park there.",low
LACK OF SERVICE,"while in the confines of , they called 911, because as they were attempting to park their car, they were threatened by several individuals. The complainant saw an officer and assumed they were there to help them. The complainant states that when they approached the officer, instead of helping them, they said they were not the responding officer and issued them a ticket for double parking.",low
LACK OF SERVICE,"while in the confines of , they called 911, after being assaulted by an unknown individual. The complainant waited for 30 minutes and states that no officer responded to their 911 call during that time.",low
LACK OF SERVICE,"while in the confines of , they called 911 and spoke to a dispatcher, who would not listen to them. The dispatcher cut them off, as they tried to explain why they were calling. The complainant states that the dispatcher told them to not to explain anything and to just answer their questions, with yes or no answers.",low
DEPARTMENTAL VIOLATIONS,"while in , they were improperly stopped and ticketed for failing to stop at a stop sign. The complainant states that after they received their ticket, they witnessed the officer go through a stop sign.",medium
LACK OF SERVICE,"while in the confines of , they were involved in a car accident. The complainant states that when they obtained their accident report, they found that that the report had been written incorrectly by the responding officer.",low
LACK OF SERVICE,"while in the confines of , their family member was driving their vehicle. The complainantÂ¿s family member was stopped by police and arrested. The complainant states that their family member was arrested after police found their weapon in their vehicle. The weapon was accidently left in the back seat of their car. The complainant states that the assigned detective failed to do a proper investigation and arrested their family member.",low
LACK OF SERVICE,"while in the confines of , their neighbors attacked them. The complainant states that the officers took their neighborÂ¿s word over theirs and allowed them to make a false police report against them. One of the officers told the complainant to shut up. The complainant went to  to file their report and was told that they could not, because there had been a report already filed for the incident. The complainant states that after speaking to a supervisor, the supervisor told the officer to take their report.",high
UNPROFESSIONAL CONDUCT,"they were verbally abused by an unknown 911 dispatcher / call taker. They called 911 after being stuck in traffic for approximately 45 minutes due to an auto accident. The complainant asked the 911 operator for an estimated time that the accident would clear. The complainant told the operator that they could not see if police were on location. The operator accused them of lying, had an attitude and disconnected the call. The complainant called a couple more times and was also hung up on. The complainant also states that the operator refused to identify themselves.",medium
HARASSMENT,"they are alleging that an officer abused their power of authority by attempting to keep them from their family member. The complainant states that the officer has made false accusations and has threatened police action against them. The complainant states that they flagged down an officer in reference to the officer and their family member following them. The complainant states that the officer told them to go home and wait for someone to take their report. The complainant states that the officer did not return to take their report but their family member had a report, which was one sided.",high
LACK OF SERVICE,"while in the confines of , they parked their vehicle in a parking garage, when they were approached by an attendant, asking them if they were police affiliated. The complainant told the attendant that they had a permit and when they returned to the garage, the attendant asked to speak to them. The attendant asked the complainant for police identification and the complainant said they never said they were a police employee just that they had a permit. The complainant states that two officers approached them but did not introduce themselves, nor were their badges visible to them. The complainant again reiterated that they had a permit and that their family member is a police dispatcher. One of the officers took the permit and said that the complainantÂ¿s family member could pick up the permit at police headquarters.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , a detective went through their wallet and digital recorder without their permission. The complainant states that the detective looked at their personal journal and their day-to-day interactions with a human resource agency. The complainant states that these items did not have anything to do with case that the detective was handling.",medium
LACK OF SERVICE,"while in the confines of , they were assaulted by an individual and sustained back injuries. The complainant called 911 twice but no officers responded. The complainant states that they called the district and the commanding officer only suggested that they call 911 to file a report.",low
VERBAL ABUSE,"while in the confines of , they were working as a valet. The complainant states that he spoke to an officer about traffic patterns during an event. The complainant states that during the interaction with the officer, they were called inappropriate names, in an effort to make them feel weak and intimidated. The officer also called the complainant a liar because they mentioned that they had already talked to another officer prior about this situation.",medium
VERBAL ABUSE,"while in the confines of , they witnessed an officer verbally abuse the share driver. The complainant states that when a driver stopped to pick up a passenger, an officer approached them and began yelling at them. The officer was loud and aggressively shouting at the driver. When the driver moved their vehicle, the officer followed and pulled them over. The complainant states that the officer continued to shout at the driver, threatening to handcuff and take them to jail, if they did not give the officer their information.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were approached by an officer in reference to a silent alarm, as they were working as a security guard. The complainant explained that they had everything under control but the officer turned the encounter into a criminal investigation. The complainant asked for a supervisor but the officer called for backup instead. The complainant states that the officer made several sarcastic comments to them about being an ex-cop.",medium
VERBAL ABUSE,"while in the confines of the Airport District, they were picking up a family member and were approached by an officer, who told them to move their car. The complainant explained that they were an ex-cop and that they were waiting for their family member to come out but the officer said they didnÂ¿t care. The complainant states that the officerÂ¿s voice went from loud to screaming at them. The complainant states that they began to slowly move their car due to traffic and the officer walked up to their car again, screaming for them to move their car.",medium
CIVIL RIGHTS COMPLAINT,"while in the confines of , an officer jumped out of their patrol car and stopped them, after they put their vehicle in reverse. The complainant states that the officer had no reason to stop them other than that they were a different race from them. The officer said that they were taking their car no matter what.",low
DEPARTMENTAL VIOLATIONS,they alleged a social media violation by an off-duty sergeant assigned to . The complainant alleged that the sergeant posted a racist remark on a social media account.,medium
LACK OF SERVICE,"while in the confines of , they were threatened by an individual and ran from the scene. The complainant states that they flagged down a patrol car and told the officers what had happened. The complainant states that the officers had no sense of urgency nor were they concerned about an individual threatening people with a knife. The officers asked the complainant to go with them to the restaurant but the complainant refused due to having to get to another appointment. The complainant states that the officersÂ¿ attitude was that if you cannot get into the patrol car, then they would be unwilling to investigate the incident.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were treated unprofessionally and an improper ticket was issued by a Traffic District officer. They were stopped by police. The complainant states that the officer aggressively pulled their patrol car in front of them. The officer approached, with their hand near their firearm. The complainant states that they were issued a ticket for not obeying traffic control devices, which they dispute.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , United States Currency was taken by two unknown Highway Patrol officers. While parked, they were approached by police. The complainant states that they were placed in the back of a police vehicle. The officers went into the complainantÂ¿s vehicle and took United States Currency. The complainant states that the officers told them that they would have to go to court to retrieve their money.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , officers stopped them as they were walking. The complainant states that the officers approached them with their guns drawn and asked them to put their face on the ground. The complainant repeatedly told the officers that they had the wrong person. The complainant states that one of the officers gave them negative feedback, when they told the officers that they had not done anything wrong.",high
DEPARTMENTAL VIOLATIONS,"officers violated departmental policies. They watched a social media video of a person that was stopped by police. During the stop, officers refused to identify themselves.",medium
LACK OF SERVICE,"while in the confines of , they were involved in an altercation with the management over unsatisfactory services. Police arrived and the complainant was informed that they had to pay the full amount and write a review or go to jail. The complainant also states that the officer consistently grabbed at their taser.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were harassed and property is missing by two Narcotics Unit officers. They were harassed by officers after they were involved in an auto accident. The complainant states that they are now missing their wallet. The complainant states that one of the officers is related to their tenant.",medium
PHYSICAL ABUSE,"while in the confines of , they were thrown to the ground and manhandled by police.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , Homicide Unit detectives and unknown SWAT officers violated departmental policies. SWAT officers broke the door to their home and entered the property. An officer pointed a firearm in a family memberÂ¿s face. Detectives entered the property, refused to show a warrant, provide a card or put their names on any reports. The complainant also states that their firearm was taken.",medium
UNPROFESSIONAL CONDUCT,"while in the confines of , they did not receive proper service from a detective and were treated unprofessionally by a lieutenant assigned to Northeast Detective Division. They were assaulted by their spouseÂ¿s children. The complainant states that when they contacted Northeast Detective Division, the lieutenant was rude to them. The complainant also states that the detective is siding with their spouse, because they know that they are a retired cop.",medium
PHYSICAL ABUSE,"while in the confines of , they were physically abused by unknown SWAT officers and harassed by their neighbor, an off-duty SWAT officer. An ambulance arrived to treat them for a medical condition. SWAT officers also arrived and dragged the complainant out of the house to a waiting gurney. The complainant states that they were touched inappropriately throughout their body by the officers. The complainant feels that the officer sent the SWAT officers to their house out of retaliation for prior neighbor disputes.",high
PHYSICAL ABUSE,"while in the confines of , they were physically abused by a  officer. The officer punched them twice on their left eyebrow. The complainant states that they began to bleed. An officer took the complainant to receive medical treatment. The complainant states that they received two stitches.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a detective assigned to the East Detective Division. Their child passed away. Officers responded, along with a detective. The complainant states that the detective failed to investigate their childÂ¿s sudden death.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , an off-duty  officer violated departmental policies. They entered into a partnership agreement of a trucking company with the officer. During their partnership, they had disagreements over funds. During a court proceeding, the complainant states that the officer lied. The complainant also alleged that the officer did not live in Philadelphia during the first 2 years of his employment with the city.",medium
VERBAL ABUSE,"beginning in 2018, they were verbally abused and did not receive proper service from a detective Special Victims Unit. They have reported abuse of their child by the childÂ¿s other parent. The detective was assigned to the case. The complainant states that the detective has suggested that they leave their child at the district so they can put them in foster care. The complainant states that the detective has not investigated their childÂ¿s other parent.",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  officer. They were issued a ticket. When the complainant asked the officer if they could ask them a question, the officer ignored them, entered their vehicle and drove away.",low
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  officer. The officer responded for a landlord/tenant issue. The complainant states that the officer failed to properly document the incident",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , a sergeant and an officer from  violated departmental policies.Officers broke the door to their home and pointed a flashlight in their direction.The complainant asked them why they broke the door.The officers claimed it was their spouse and not the police who broke the door.The complainant states that their spouse has not lived there and a sergeant failed to verify that information.",medium
VERBAL ABUSE,"while in the confines of  they were verbally abused and did not receive proper service from a  lieutenant. Officers responded for a domestic. The lieutenant sent a certified letter to the complainant to discuss the situation.  the lieutenant came to the complainantÂ¿s home on another matter. The complainant states that they tried to talk to the lieutenant, but the lieutenant said, Â¿I sent you a certified letter. You didnÂ¿t respond, so IÂ¿m not going to talk to you.Â¿",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , unknown officers abused their authority and did not provide proper service. Officers arrived to tow theirabandoned trailer. The complainant told the officers that it was not abandoned and requested a supervisor. The complainant states that they have been parking the trailer there since 2017 and that there are no signs stating no truck parking. The complainant offered to get their truck and move their trailer, but was denied. The complainant retrieved their truck and as they approached, an officer stepped in front of their truck. Officers threatened to arrest them for disorderly conduct. The complainant states that the trailer was towed and they had to pay a fee to get it back.",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a detective assigned to Southwest Detective Division. They reported their child missing. The detective was assigned the case. The complainant states that months passed and they did not hear anything from the detective.  a note was left in their door to call the detective. The complainant called the detective. The detective told the complainant that they had an incorrect number, which is why they never called.The complainant asked the detective why didnÂ¿t they come by their home, and the detective had no response.",low
UNPROFESSIONAL CONDUCT,"while in the confines of , a  and  officer acted unprofessionally. They were arrested and transported to  cellroom. During their stay, an officer used abusive and offensive language. The complainant states that the officer was rude. The complainant states that the other officer giggled and laughed throughout their stay at the district.",medium
DEPARTMENTAL VIOLATIONS,a  officer violated departmental policies while in the confines of . they were stopped by police. The officer approached their vehicle without a face covering and no regard for social distancing.,medium
NON-INVESTIGATORY INCIDENT,"while in the confines of , they did not receive proper service from an unknown  officer. They went to the district and requested a complaint against police form. An officer asked the complainant for their identification. When the complainant asked the officer if they had to show their identification for race and gender, the officer told them that they were color blind.",low
HARASSMENT,"while in the confines of , they were harassed, treated unprofessionally and verbally abused by a  officer. They were notified by an officer that their family member, who suffers from medical conditions, was found walking on the highway barefoot. The complainant states that they told the officer that they were out of town and would attempt to contact someone to get them. The officer called the complainant back and told them that they would take their family member to the district for someone to pick them up. The complainant states that they then received several harassing calls from another officerÂ¿s cell phone. The officer yelled and used profanities at them. The complainant hung up on them. The officer proceeded to call them several more times. After the complainant ignored the calls, the officer sent two inappropriate text messages to their phone.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from unknown  officers. They witnessed someone being attacked on the highway. The complainant states they ran over to officers who were standing on the street for help. The officers followed the complainant back, but repeatedly stated that they were not going to do anything because there was no victim. The complainant asked them for their badge numbers, but they refused.",high
UNPROFESSIONAL CONDUCT,"while in the confines of , they were verbally abused by a sergeant assigned to the Traffic District.The complainant attempted to enter a parking lot and was informed by an officer that they could not get through.The complainant showed the officer their parking pass. The officer told the complainant to speak to their sergeant. The complainant approached the sergeant and asked them if there was a way to access the lot. The sergeant aggressively told them that they were not getting into the parking lot. The sergeant proceeded to use profanities. The complainant states that they had young children in their vehicle that had to witness the sergeantÂ¿s behavior.",medium
UNPROFESSIONAL CONDUCT,"on behalf of a family member, states that their family member did not receive proper service from an unknown 911 call taker. Their family member called 911 after being involved in an auto accident with injuries. The complainant states as their family member was explaining what occurred, the call taker hung up the phone.",medium
UNPROFESSIONAL CONDUCT,"they were treated unprofessionally and verbally abused by a  officer.The complaint was stopped by police, and the officer verbally abused them in front of their children.The complainant states that they have this on video.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of another jurisdiction, they were harassed and false allegations were made bytheirex-significant other, an off-duty  officer. While at their home, they were locked in a room and not given any food by the officer. The complainant states that the officer made them perform acts on them in order for them to reside at the home. The officer has mentally abused them and made false allegations against them.",medium
LACK OF SERVICE,"According to the complainantswhile in the confines of , they did not receive proper service from  officers. Officers responded to a domestic incident. The complainants state that the officers left without speaking to them. The complainants called 911 again for police assistance. While on the phone, they heard an officer say that they were there and this is the games that they play.",low
LACK OF SERVICE,"According to the complainantswhile in the confines of , they did not receive proper service from  officers. Police responded for a report of someone breaking in. The complainants stated that the officers did not handle the incident correctly. The complainants had to call 911 again for police assistance and to make a report for vandalism.",low
DEPARTMENTAL VIOLATIONS,"According to the complainantswhile in the confines of , their child is being harassed by a  officer. Their child was stopped because of the tint on the windows. The complainant states that the same officer is harassing their child because every time the officer sees them, they pull them over because of the tint on the windows.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they did not receive proper service and departmental policies were violated by unknown  officers. They were arrested by police. The complainant states that the officers refused to give them medical attention. The complainant was later taken to the hospital. The complainant states that their vehicle was taken to a police unit and not returned. The complainantÂ¿s vehicle contained their wallet, money and heart medication. The complainant states that they have been calling , but officers keep hanging up the phone on them.",medium
VERBAL ABUSE,"while in , they were verbally abused by a  officer. They were stopped by the officer. The complainant states that the officer was disrespectful and took their car keys for no reason. The officer told them that they would issue them a ticket for speeding, but actually made it for reckless endangerment. The complainant asked the officer for their name and badge number. The officer directed them to the ticket.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , an unknown officer violated departmental policies and parked illegally. They noticed a private vehicle repeatedly parking in a handicapped parking spot. The complainant states that the vehicle has a license plate partially obscured with a badge that says Â¿Fraternal Order of Police.Â¿The complainant also states that there is a dark window tint on the windows and there is no visible handicap placard.",medium
HARASSMENT,"since 2009, they have been harassed by officers assigned to the 35th and .",high
VERBAL ABUSE,"while in the confines of the Airport Unit, they were verbally abused by an unknown officer assigned to the Airport Unit. They pulled their vehicle over. An officer was directing traffic and waving everyone to move along. As the complainant attempted to ask the officer a question, the officer approached and said, Â¿Why do you think youÂ¿re different?Â¿",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of ,they allegedan improper entry by an unknown  officer. An officer wanted to enter their home, but the complainant said no because of their dog. The complainant states that the officer then entered the home without their permission.",medium
DEPARTMENTAL VIOLATIONS,"while in the confine of , they were treated unprofessionally and departmental policies were violated by a  officer. While letting their partner out their vehicle, the officer approached and told them that they could not park there. The officer told them that they were blocking the highway. When the complainant asked if the street was a highway, the officer flung their hand and hit the driverÂ¿s side mirror of the vehicle. The complainant asked the officer to not hit their car. The officer then scanned their license plate. The officer proceeded to walk away. The complainant exited their vehicle and asked the officer for their badge number. The officer continued to walk away.",medium
LACK OF SERVICE,"while in the confines of , they did not receive proper service from a  officer. They were struck by a vehicle. An officer approached and allowed the driver to leave the scene, but told the complainant to wait while the officer checked their information.",low
DEPARTMENTAL VIOLATIONS,"they were released from custody at  at 5510 Pine Street, and their belongings were not returned to them by unknown officer(s).",medium
DEPARTMENTAL VIOLATIONS,The complainant alleged that an off-duty officer threatened them and violated departmental policies during a domestic dispute over custody of a child related to them.,medium
LACK OF SERVICE,The complainant alleges they did not receive proper service from  officers related to an auto accident .,low
HARASSMENT,"According to the complainantswhile in the confines of  they were stopped because of a motor vehicle violation, and now they allege they are being harassed by a  officer. The complainant states that the same officer harasses them every time the officer sees them driving their vehicle.",high
LACK OF SERVICE,while in the confines of  they contacted police to file report of someone being assaulted in a rooming house. The complainant stated that the officers who responded to the location failed to file a police report. The complainant went to  to make a report for assault and threats.,low
CIVIL RIGHTS COMPLAINT,"while in the confines of , they spoke to a supervisor in reference to their stolen vehicle. The complainant states that the supervisor spoke to them disrespectfully and racially profiled them. The complainant states that they called for help and did not receive any assistance.",low
LACK OF SERVICE,their significant other was involved in an auto accident with an off duty officer. The complainant states that the responding officer took statements from the off duty officer and from people on their side first before taking their significant otherÂ¿s statement. The complainant states that police also did not take a statement from a witness who said it was the officerÂ¿s fault. The complainant feels that the officer did not handle the situation correctly or professionally.,low
PHYSICAL ABUSE,an officer approached them and began questioning them. The complainant states that they told the officer that they were not going to answer any questions and walked away. The complainant states that the officer then put their hands on them and started to grab them. The complainant again attempted to walk away but the officer grabbed them again. The complainant states that the officer grabbed them three times and this is the second occasion that they have been stopped by the officer on the same day.,high
VERBAL ABUSE,"states while in the confines of , they were verbally abused by an unknown Highway Patrol officer. They were helping a friend move, and during that time an officer repeatedly yelled at the complainant, ""Move the f*ck*ng car.""",medium
PHYSICAL ABUSE,"on behalf of their child, states while in the confines of , their child was physically abused by 6-7 unknown officers and they were treated unprofessionally by a  sergeant. They witnessed their child being pulled out of a vehicle by police. An officer then punched their child several times. The complainant states that they witnessed other officers physically abuse their child. The complainant requested a supervisor. The supervisor acted unprofessionally towards the complainant, refused to give any information to them and told them that their child was being taken to the district instead of the hospital.",high
LACK OF SERVICE,"while in the confines of , they did not receive proper service from unknown officers. They called 911 after they noticed someone involved in a prior crime. The complainant then noticed two officers on foot patrol and approached one. The complainant asked if they were there for their 911 call, and the officer said no. The complainant states they pointed to the person involved in the prior crime, but the officer said they could not do anything and that they had to wait for the dispatched unit.",low
HARASSMENT,"they were harassed by an officer while in the confines of . the officer used a speaker to yell names at them. The officer yelled names of family members, yelled child molester and also yelled child pornography. The complainant states that the officer is related to an ex-family member. The complainant states that the officer has been harassing them by communication for years.",high
DEPARTMENTAL VIOLATIONS,"while in the confines of , departmental policies were violated by a  officer. They were involved in an auto accident with an aggressive driver. The complainant exited their vehicle and approached a patrol car that was a few cars behind theirs to ask for assistance. When the complainant told the officer what happened, the officer said that they were writing them a ticket. The complainant asked the officer why would they write them a ticket. The officer stated, Â¿For what you told me.Â¿",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , departmental policies were violated by an unknown supervisor. They called 911 to ticket vehicles parked on private property. An officer responded and took the information of six vehicles to make sure that they were not stolen before they ticketed them. A tow truck was there to tow a vehicle that was ticketed earlier that day. The owner of the vehicle came out and entered the vehicle. The complainant called 911. A street supervisor responded and wanted the tow operator to release the vehicle, however they refused. The complainant stated that because they did not release the vehicle, the street supervisor ordered the officers to not ticket the any of the other vehicles.",medium
HARASSMENT,"while in the confines of an outside jurisdiction, an off-duty  officer made verbal threats. An officer came to a healthcare facility requesting assistance for their medical condition. The complainant assisted the officer with their needs and advised them to contact their primary care physician for an updated prescription. The officer stated that they could never get ahold of anyone at their medical office and made inappropriate comments. The officer also made a comment about wanting to put lead into someoneÂ¿s head before their departure from the medical office.",high
CIVIL RIGHTS COMPLAINT,"while in the confines of , an individual called 911 on them. The complainant informed the responding officers that they were leaving. As the complainant was leaving, an officer asked for their identification and they refused. The complainant states that the officers proceeded to handcuff them and search them, violating their civil rights. The complainant also states that the officer lied when he issued him a ticket for an open beer can.",low
LACK OF SERVICE,"while in the confines of , he did not receive proper service. The complainant states that they were the victim of a shooting incident . The complainant states that their weapon was confiscated and has not been returned to them. The complainant has not received any updates in reference to their case. The complainant also states that they did not appreciate that during their week stay at the hospital, the doctors and nurses repeatedly asked them how they shot themselves. The complainant states that they did not shoot themselves, as they believe that the detective is under that impression and that is why their case is not being investigated properly.",high
HARASSMENT,"after being involved in an altercation with another tenant in their building, they noticed several disturbing text messages from the landlord, who is a police officer. One of the text messages read, Â¿IÂ¿m going to fight my tenant after the dentist.Â¿ The complainant also states that the officer has threatened the complainant with eviction multiple times.",high
LACK OF SERVICE,"they were stopped at a red light, when another vehicle struck them from behind. When officers arrived, they did not take the complainantÂ¿s statement and accused them of reckless driving. The complainant later found that the report was inaccurate. The complainants attorney will not handle the complainants case unless the report is corrected.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , they where improperly stopped and detained by a  Officer. While they pumped gas into their dirt bike, they were approached by an officer. The officer told them that the dirt bike was illegal in the City of Philadelphia. They told the officer that they were not doing anything wrong, in fact, they pushed the dirt bike to the gas station. The officer demanded their identification and detained them. The officer threatened to taze them if they did not comply. The complainant states that they were issued a citation and their dirt bike was impounded.",medium
DEPARTMENTAL VIOLATIONS,"on an unknown date and time, they witnessed three officers not wearing facemasks while on duty. The complainant states that one of the officers had previously had a mask on but ripped it off in response to the complainants remarks.",medium
VERBAL ABUSE,"they were verbally abused by an officer while in the confines of . The complainant noticed the officer getting ready to ticket the vehicle. The complainant approached the officer and said, Â¿DonÂ¿t you see my tag?Â¿ The officer said, Â¿I donÂ¿t give a f*ck. You should have parked up the street and walked your lazy *ss down the street. You need to walk.Â¿ The complainant states that they then witnessed the officer use profanity towards other pedestrians in the area.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , they were improperly detained and did not receive proper service from a  Officer. They were involved in a disturbance with their neighbor. Officers arrived and detained the complainant, but failed to detain the neighbor. The complainant states that the officer failed to properly investigate the incident.",medium
DEPARTMENTAL VIOLATIONS,they were improperly stopped by officers while in the confines of . The complainant states an officer told them that they were driving careless and disregarded the safety of person and property. The complainant states that is not the truth.,medium
FALSIFICATION,"A complaint of false reports related to several domestic incidents was made against an off-duty officer assigned to . The complainant states that there is a court order in effect where she must pick up her child at . The complainant alleges that the officer, who is the other parent of the child, has made a false report of assault against them.",medium
DEPARTMENTAL VIOLATIONS,"while in the confines of , officers violated departmental policies. Their firearm was wrongfully taken by officers.",medium
DEPARTMENTAL VIOLATIONS,"officers and a supervisor violated departmental policies while in the confines of . they witnessed an officer conduct a vehicle investigation. The officer was not wearing a face covering, failed to use a turn signal and made an illegal U-turn. The complainant went to  to file a complaint. At that time, they noticed an officer and a supervisor not wearing a face mask.",medium
DOMESTIC,"The complainant is alleging a domestic assault by an off-duty,  Officer, while in the confines of . they went to a residence to meet with the officer, as the officer requested. When they arrived, there were several other people on location and the officer acted surprised to see them. The complainant states that they became angry and pushed the officerÂ¿s face. At that time, the officer punched the complainant, slammed them to the ground and proceeded to kick them. The officerÂ¿s friend picked the complainant up and threw them outside. The complainant states that they sustained injuries to their leg, lip and head, as well as a mild concussion. The complainant further stated that this is not the first time that they were assaulted by the officer.",high
DEPARTMENTAL VIOLATIONS,"The complainant states they did not receive proper service from a detective assigned to East Detective Division and  officers violated departmental policies while in the confines of . the complainant, along with their spouse, went to  to make a report. The complainant states that none of the officers had on any form of face covering. The complainants spouse complained to the captain. The complainant states that because of their spouseÂ¿s complaint, the detective failed to properly investigate her case by not viewing video footage from a prior incident.",medium
LACK OF SERVICE,"The complainant states they did not receive proper service from Police Radio call takers in the confines of . The complainant has called 911 on several occasions, but no one answers the phone.",low
CIVIL RIGHTS COMPLAINT,"while their family member was in the confines of , they were stopped by police. The complainant states the officers were in plainclothes and did not identify themselves. The complainant states the officers racially profiled their family member, gripped them up and pointed their firearms at their face. The complainant also states that their family member was told by the officers that they would get shot if they moved.",low
